     19342,     12670,      4464,     16400,     19761,      6500,     18007,     18411,       548,     11583,     13590,     12455,         3
      4348,      7245,      7439,      8972,      4509,     16206,      4941,     18116,      5951,      9658,     14472,     19191,         3
     16931,     17916,     11445,      6875,      7019,       529,     16852,     18836,      4650,      6155,      1732,     13283,         3
     10954,      2058,     15861,      3323,      3318,      3744,     12192,     10658,     16463,     11825,     15919,      4319,         3
     17503,     18122,     19342,      8182,      6846,     15039,     17291,      9814,      4396,      4068,     19597,      4265,         3
      3438,      9562,      6826,     17041,     14461,      4837,     18561,      5612,      6595,      9038,     19634,     12488,         3
      1113,      4585,      6232,     13602,      4880,     13682,      9984,       270,     18299,     18124,      3573,      5586,         3
      7804,      4342,      7845,     18855,     19469,     18512,      8373,     16304,      9323,      7221,      7239,     16628,         3
      5525,      4706,     12335,      8000,      6739,      1090,      8222,     15833,     10464,      8150,     12966,      4437,         3
     14397,     11877,     10739,     14081,      2058,     15284,      1128,      3156,      8253,     14027,     14098,      4035,         3
     17628,      1020,     10805,     18663,      9650,      6608,      7400,      4622,     19655,     11761,      6193,      4849,         3
     11044,     17160,      3126,       637,     19146,      5967,      9016,     17457,      7062,     19325,      8294,      9105,         3
     10381,       988,      8614,     12177,      5641,      3055,     17124,      3215,     11820,     16076,      2840,     15942,         3
     17073,     15089,      9316,      2778,      6173,      9879,      6761,      2503,     19563,     17285,       127,      4764,         3
      4611,      5284,      7718,     14958,      2949,        94,     10835,     11017,      6231,       570,     16540,     13185,         3
      7666,      1634,      5873,     11303,      2247,     10501,      5395,     13451,     16128,     13356,     12435,       224,         3
     12854,      9021,     18596,      7332,     10696,     17764,      7487,     15931,      5877,      5478,     16955,     18405,         3
      3781,      3176,     16079,      6163,      7765,      9308,      1811,      3762,      1778,       623,      1087,     19501,         3
     15339,      6955,     11560,      6352,     11476,      3082,     14696,      7902,     14544,      1787,      1921,      4631,         3
     15246,     13479,     15860,     10247,     10273,     14634,     15962,     14386,      6409,      9400,     19926,     15557,         3
      8819,      2749,      3364,     13878,      2143,      5929,     14017,     15140,      6067,      9522,      4514,      5055,         3
     16895,      2372,       180,     11224,     17598,     15403,      2123,      9870,     18348,     18011,     17116,       962,         3
     10934,     11471,     14389,     13765,     11922,     10927,       131,     17411,     15865,     16145,     19050,       128,         3
     14386,      6760,      9297,      3998,      1255,      4752,     18957,      3229,      4622,     15700,      2048,     17651,         3
     15618,     16394,      7057,      4855,      1917,      6186,     14799,     11079,      6546,     12579,       948,     14708,         3
      2544,        76,     17455,     13562,     13714,      5615,     18063,     10774,      2085,     17934,      4821,     18567,         3
     12224,      5499,       742,     17389,      5580,      6197,       849,      5264,     11327,      3720,     16468,      7378,         3
     18533,     19564,      4604,       434,       809,      5175,      4259,      1138,      5782,     18249,      3854,     15579,         3
     12260,      5656,       446,      7845,      3727,      6416,     13246,      5806,     12341,     17960,     19159,     10714,         3
     10602,      4761,      9789,     12531,      9182,     18307,       320,      3455,      2757,      6800,     19156,      5294,         3
     14461,      8504,     14897,      6943,     14810,     12118,     11919,      8359,      1932,      2146,      9372,     15376,         3
     11228,      9781,      2866,      5541,      3527,      4957,      2292,     19043,     14156,      7671,      6797,     11505,         3
      5809,      2217,     11294,     12110,     18872,      1284,      8761,     18931,      9054,      4552,     17465,      8940,         3
     14551,     19577,     11844,     18782,      1719,      8547,     18773,      5361,      8251,      9028,     19912,      5888,         3
      7700,      8751,      4717,      8266,     15353,     14092,      2705,     17984,     11471,      6664,     11269,     11313,         3
     13109,     17899,      9991,      9423,      4859,       509,     10806,     19269,      1028,      5790,     18529,     17640,         3
     10104,     16761,      9186,      5393,     18813,     14967,     18617,     18773,      8082,     12093,     12573,      9676,         3
      2908,     10696,       189,     19052,     11204,      2194,      9972,     19445,      8402,      6344,      4230,     17293,         3
      3628,     19603,      9601,     13023,      2159,      8934,      2038,      4275,     13881,     16207,      8234,     16650,         3
     13132,     14893,      3898,       820,     15712,      7125,      7468,     13426,     16128,      1017,      9511,      3265,         3
     10111,      1509,     11053,     13028,      1896,      6255,      9674,      4694,     12081,     15133,      9981,      9833,         3
     17908,      9838,      5531,     10932,      6948,     11858,     17493,     12320,     18015,     11011,     13536,      1304,         3
     12526,      9416,     15211,      3494,     16480,     12076,     19014,     14963,     19713,     11881,     18210,     14653,         3
      3800,     19254,     14601,     19953,      4266,      2845,      5225,      1214,      4821,     18587,      7038,     11841,         3
      5144,      9829,     17699,     19901,     15531,      1195,      8750,     17387,      6270,      3072,     18522,      5636,         3
      6591,      9748,     16275,     10063,      4689,     15224,      2803,      6072,     14628,     10407,     12887,      9435,         3
     16956,     11187,      3907,     11694,      3694,     12335,     11875,     14180,     12683,      4111,     10421,      2086,         3
     10953,      7099,       630,     10998,     17539,     15096,     14213,     13850,      6698,     18317,     16249,      3207,         3
     13864,     18824,     19162,      4118,     14931,     18078,      7112,     11656,      5945,     16837,     10165,     14312,         3
     15111,     12251,      3361,     15232,     14931,      3559,     19342,      6987,      9840,     11399,     14758,     12490,         3
      3369,     19912,      7463,     17565,     12186,      8057,      8436,      1165,     10864,      2580,     15950,      2198,         3
      8310,      5000,     13288,     11654,     14968,     14006,       516,       740,     11532,      2279,      2433,     11771,         3
     11392,     13996,     11263,     12016,     16087,     12733,        15,      6586,      3677,      7836,      2979,     15354,         3
      1300,     14808,      4180,      5604,     11901,     19766,     10771,      4551,     14981,      7204,     14472,     18897,         3
     10576,     14740,      3859,     10177,     12000,       434,      3301,     14471,     16750,      7929,      8013,      7838,         3
      8657,       755,      7034,      8263,      5882,     19914,      5589,      6531,     17675,     14699,     15542,      7440,         3
     19684,     16047,      9550,     16743,      5217,     14984,     14161,      9500,     15927,      1483,      3588,     17328,         3
     14852,     17986,      6395,      1150,     14910,      3302,      7485,     15381,      4218,      9103,     10050,     15796,         3
     10757,      8493,     17303,     19783,      7358,       814,     14946,     18682,     14858,     10856,     19178,     19313,         3
      1572,     15753,     11077,     14422,      2226,     13654,      9008,     13267,     10989,      1609,     10739,      6134,         3
     17850,      6951,     17957,     15819,       618,     12419,      7991,     10725,     11443,        62,     13327,     15818,         3
       958,     16637,     11540,      1346,      6197,      4782,      7852,      1028,     18158,     12123,     12104,      4078,         3
     19730,     10048,       992,      9872,      2934,     12157,       540,      1982,     17276,      8161,     14624,       775,         3
     12108,     11374,      9567,     17472,      3507,      5458,      5620,     12862,     15307,     17386,      1574,     18339,         3
     19612,      5323,     18273,     16924,     18160,       237,      5736,     14570,      6724,     18985,     13283,      6432,         3
     12758,     17937,      8780,     17404,     14996,     13664,      3083,      5215,      2916,      7264,     19050,     19554,         3
      3114,     11470,      6358,      6835,     12685,      3285,      2753,      7740,      1299,      5049,     15984,     17439,         3
      2336,      6437,      5397,     19692,      8404,     12325,      3878,     19968,     10656,      1285,      8293,     12839,         3
      4157,       606,     11715,     14070,      4791,     15094,     15058,      3105,      5039,      3568,       325,      6110,         3
      9239,     18922,     16211,      2081,      8450,      1653,     18397,      2946,      1418,     14416,     15670,      8327,         3
      7399,      2912,       148,     18728,     12713,     12311,     13971,     12448,      8673,      2830,      4964,      9169,         3
     14981,     17687,      5142,     13477,     19132,       445,     12247,       519,      9195,     19032,      5586,     18334,         3
      7873,     16186,     19694,      2982,     12267,      2632,      1561,     11269,      9088,     10497,     18228,     18729,         3
     15308,     19113,     19442,     15734,     11279,      3558,      9322,     10526,      2213,      9591,      2396,      9190,         3
      3833,      7638,     17108,     19866,     15613,     19978,     13863,       626,      5873,      3259,     13374,     11401,         3
     19975,      3056,      4153,     10002,      9665,     14514,     19398,      2296,      2267,     18264,       239,      9152,         3
     15713,     15077,     13932,     13076,     10694,     17183,      6410,     14963,      7915,      7147,      5864,     14363,         3
     14960,     13761,      1045,     10080,     17545,     12217,      1269,      7552,     17927,     19152,     19142,     17794,         3
      3993,     13675,     18561,     13151,     18715,      2351,     11846,      4631,      3317,       207,      6915,     15139,         3
      2208,      8229,       662,      6282,      7637,     16244,     14265,     14797,     10464,     14257,     15158,     17090,         3
      4167,     15859,      2419,     11313,      4745,     12011,     13536,     14495,     13996,     19688,      8896,      6886,         3
     11505,     14601,      3911,     17055,     13286,     19025,      1731,      2408,     11496,       999,     10860,       978,         3
     13218,     14315,     17334,      4539,      3242,      7857,      4446,      4257,     13457,     18569,      3513,     16871,         3
       136,     14604,      7149,     18715,     13373,     10565,     19894,      4478,      1174,      3252,      1047,       449,         3
      4387,      2718,     13216,      4237,     19739,     14569,     11784,     10519,      2139,     16877,     16858,     19122,         3
      4978,      6381,     11682,     17248,     10651,     13931,      2586,     13518,      6513,     18144,     19251,     17252,         3
      6266,      7292,     19347,     14540,     18726,      6255,     11833,     18344,     10676,     17268,     19787,     18532,         3
     19757,      7883,      3946,     10260,      9020,       379,     14294,      5256,     19315,     10515,      6077,      3687,         3
     14524,     12038,      1987,     11920,      5234,      9613,      1778,     14532,      3095,     16424,       476,     13701,         3
      9741,     19421,     18953,     16503,      1389,     11791,      3478,      8278,     13043,      5336,      8233,      8729,         3
     10830,     19696,     14452,     13610,      8789,       211,     15388,      6788,     17594,      7002,     14905,      3931,         3
     11100,     12005,      5867,      8652,     18845,      8933,     15491,     14187,      6832,     13865,      3291,      4061,         3
     18406,      8735,     16799,      1350,     16166,      9400,     16798,      9420,     18114,     18968,     12584,     14750,         3
      8101,      4189,      6697,      7161,     17609,      9051,       309,     12294,      9706,     10754,      5986,      7339,         3
      4840,     11170,      2654,      3000,     12045,      2679,     13771,     11218,     12023,     16115,     12004,     17657,         3
      2553,     10049,      1906,     10559,      7325,     18930,      2801,      2891,     10725,       496,      9464,      8800,         3
     11117,      9403,     11775,      1735,      9584,     11892,      6663,      1774,     18515,      4361,       539,       152,         3
      8784,     15502,      2881,      3561,      8976,      7515,     15610,      2168,     10712,      6691,     16307,      5811,         3
      9154,      3794,     15332,      7869,     12063,     17575,      5439,      3829,       566,     16622,     10319,     11268,         3
     11231,      2814,      6084,      7968,     11096,     18563,      5848,      5708,     17420,      3845,     17709,      1874,         3
      9132,      2884,      6469,      8891,      9650,       441,     15527,       227,      6452,     18594,     14337,     18000,         3
     14768,       293,      9967,      7551,      4367,       139,       606,      6674,      3148,      5600,      2866,     13270,         3
     17065,     10077,     12175,      7094,      7944,     11487,     16487,     18391,     14330,     16812,      5022,     15749,         3
      4488,      5472,     15524,     10178,     13477,      8213,     11672,      6085,     13712,     18168,     14280,     12214,         3
     14590,     11188,      9720,     18151,      6248,     13313,      1587,      9863,     10757,      6726,     14772,     11647,         3
     19011,     18663,     11693,      9055,     15101,     19467,      3277,     17262,      4955,      5819,     14808,      3786,         3
      3373,     11194,      4516,       801,     17023,     10520,     13197,      9824,      5529,      3028,      5584,      3593,         3
     12773,      2603,      2976,      5505,     14153,      2512,      1067,      1245,     11584,       212,      4057,     13775,         3
      6634,     19813,     14139,      3248,     19236,      1428,     17374,      3972,      1380,     18735,     12411,       442,         3
     16841,      3315,     12166,     11132,     12194,      9524,      9773,     12708,      2323,      6068,      8992,      1616,         3
      8647,      6991,     13182,     18944,     16402,      7250,      4044,     17010,      2102,      9122,     13690,       412,         3
     19577,     15157,       533,     12662,     18662,     10200,      9707,      1384,      1790,     16069,     12539,     13612,         3
      7203,     12311,      8036,      9568,      7995,         0,      8540,     10845,      3381,     18378,      2785,     11504,         3
     10558,      2483,     11690,      8566,      2789,     15735,     16449,     17756,     11415,     18993,      6067,     15201,         3
       728,     11027,      3381,      9035,     18417,     14503,      6246,      9632,     19346,     19222,     18182,     19351,         3
      4751,       130,      3857,     10013,     14687,      7222,     12813,     13194,      6240,     17992,      2579,     18518,         3
      7699,      5998,      2901,     13032,     12515,     18683,     19550,     19034,     10582,      1171,     11115,     15527,         3
      4703,     13824,     12326,      1524,     11262,      8846,     17531,      2760,     11971,      1420,      6742,     19449,         3
      5264,     12729,      8982,     19519,      9019,     19913,     18896,      9666,      6084,     10137,      7236,     10936,         3
     10450,     19763,     18901,     14686,     15051,     13497,       280,      3913,      8490,     11385,     13991,     12037,         3
     13752,     13677,     17324,     15909,     12894,      1866,     13924,     18360,     11348,      4214,      4587,      5297,         3
      2144,     10590,     13923,        77,      4084,      2693,      2825,      6439,     19366,     14706,     13301,      1237,         3
      9729,      8853,      1306,     11761,      5899,     14032,      9865,      8773,      8486,     11154,     17149,     12468,         3
